replicate,matched_placebo_right_minus_left,fallback_sampled_neurons
275,0.000775782100439517,4692
276,0.0009983588758431076,4692
277,-0.0019141779966932865,4692
278,0.0005531507525807326,4692
279,-0.0003268124633202113,4692
280,-6.095172378861591e-05,4692
281,-0.0007977161254115774,4692
282,-0.002762056013820638,4692
283,-0.0028967235115783807,4692
284,-0.0008726737036998874,4692
285,-7.973465218370085e-05,4692
286,-0.00040211985567078015,4692
287,-0.0027335073325215585,4692
288,-0.0011156223732071112,4692
289,-0.0015030222826953737,4692
290,-0.00042902863435833813,4692
291,-0.001422286727890354,4692
292,-0.00065289399529413,4692
293,0.0006904214983517905,4692
294,0.0003594827691794436,4692
295,-0.002821809548077741,4692
296,-0.002648041724318012,4692
297,-0.00015768255165192133,4692
298,0.00019892724529528213,4692
299,-0.00045702586994261427,4692
