cohort,selection_rule,case_id,case_class,glomeruli,lateral_code_index_real3_delta_vs_sym_arbor,lateral_code_index_real3_delta_vs_sym_baseline,lateral_code_index_real3_minus_mirror_arbor,lateral_code_index_real3_minus_mirror_baseline,lateral_code_index_real3_minus_shuffle_arbor,lateral_code_index_real3_minus_shuffle_baseline,mean_spike_count_real3_delta_vs_sym_arbor,mean_spike_count_real3_delta_vs_sym_baseline,normalized_effective_dimension_real3_delta_vs_sym_arbor,normalized_effective_dimension_real3_delta_vs_sym_baseline,normalized_effective_dimension_real3_minus_mirror_arbor,normalized_effective_dimension_real3_minus_mirror_baseline,normalized_effective_dimension_real3_minus_shuffle_arbor,normalized_effective_dimension_real3_minus_shuffle_baseline
lateral_support_selected_72,partly selected by single-glomerulus lateral-code support,support_pair_012_V_VA7m,support_pair,V;VA7m,0.1590153801046673,0.1790616303077921,0.2099966067497395,0.2280498650204649,0.161674115824905,0.1761700279384715,-602.875,-7.105427357601002e-15,0.0007032709064722,-0.0002645968263056,-0.0005680567255712,0.0002136708140441,-0.0002178005715399,-0.0001099267504902
lateral_support_selected_72,partly selected by single-glomerulus lateral-code support,support_pair_013_VA7m_VC3,support_pair,VA7m;VC3,0.180229086766259,0.2131583292118121,0.2392567005357403,0.2878941412397508,0.1749695426848899,0.2125956393056305,-277.375,3.552713678800501e-15,0.0003593246605096,4.258920679704042e-05,-0.0011066519299856,0.0003120802628481,-0.0007205057541182,0.0002388341433024
lateral_support_selected_72,partly selected by single-glomerulus lateral-code support,support_pair_014_VC3_VM2,support_pair,VC3;VM2,0.1705675172445887,0.2036866546308161,0.2297812232314498,0.2742537501430477,0.1688911683314775,0.2029229056204619,-443.0416666666679,-3.552713678800501e-15,-0.0013236747210044,-0.000150680514731,-0.0012937266237562,4.04868181332e-05,-0.0017224730117346,2.1966473387475e-05
lateral_support_selected_72,partly selected by single-glomerulus lateral-code support,support_pair_015_VM2_DC2,support_pair,VM2;DC2,0.1131507570019034,0.1248840927595662,0.1501039399042666,0.1676687392869158,0.113166770807124,0.1221895147327667,-242.375,0.0,-0.0001488105065832,-0.0002479196316911,-0.0001674919945816,-0.0001815864085354,-0.0013454637114197,-0.0001648784408751
lateral_support_selected_72,partly selected by single-glomerulus lateral-code support,support_pair_016_DC2_VM7d,support_pair,DC2;VM7d,0.1148004538527218,0.1107587268428794,0.1481436848510964,0.1431018200929591,0.1144214536258684,0.1101954583061703,-358.375,0.0,-0.0012173818042318,-0.0002850796321536,0.0001322236930908,-0.0001783527233757,0.0004606153865051,-0.0001965205882423
lateral_support_selected_72,partly selected by single-glomerulus lateral-code support,support_pair_017_VM7d_DM1,support_pair,VM7d;DM1,0.262852123373167,0.3125516539083225,0.3469938525068158,0.4199135592577613,0.2608566797064465,0.3150033570777047,-895.5416666666679,-3.552713678800501e-15,-0.0043205994896992,-0.0004871396876985,-0.0023526009776197,-0.0001609817959283,-0.0034404607332992,-0.0002238843656377
lateral_support_selected_72,partly selected by single-glomerulus lateral-code support,support_quad_036_DM1_DP1m_DC1_VA2,support_quad,DM1;DP1m;DC1;VA2,0.3397538363433067,0.3488732176693585,0.4516168967783066,0.4698586863231076,0.3324973874887305,0.3471451439584744,13.91666666666424,3.552713678800501e-15,0.000704416712315,-0.0015224753449762,-0.0014669263384953,-0.0010430176632898,-0.0029247322843231,-0.000626131385053
lateral_support_selected_72,partly selected by single-glomerulus lateral-code support,support_quad_037_DC1_VA2_DM4_VL2p,support_quad,DC1;VA2;DM4;VL2p,0.2721243799426335,0.2825577872960334,0.3627789703248558,0.3752356530157744,0.2690471995589253,0.2785811502433771,-125.41666666666424,-7.105427357601002e-15,-0.005314379004803,0.0036509836175821,-0.0058192147947841,0.0054473236227379,-0.0069857567801817,0.0041459106812539
lateral_support_selected_72,partly selected by single-glomerulus lateral-code support,support_quad_038_VL2p_VC5_DL2v_VM5d,support_quad,VL2p;VC5;DL2v;VM5d,0.2708561021473468,0.2878857034412218,0.3580688415395461,0.3809983870190184,0.2680799703962776,0.2806590191674216,-684.9166666666679,7.105427357601002e-15,0.0013983707458983,0.0001242142759565,0.0033341616704127,0.0010558912007676,-0.0004736910714768,0.0011761314674261
lateral_support_selected_72,partly selected by single-glomerulus lateral-code support,support_quad_039_VM5d_DL1_DA1_V,support_quad,VM5d;DL1;DA1;V,0.273140717827247,0.2999949384635346,0.360102569864302,0.3975066461980933,0.2712487529241967,0.2990708834671474,-740.4583333333321,-3.552713678800501e-15,-0.0057513870320336,-0.0019380640537814,-0.0073740028101008,-0.0004700496903328,-0.0085145265058157,-0.0007537558855124
